번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
199,칼국수,"밀면, 소금, 멸치육수",끓이기,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,칼국수,멸치육수에 바지락을 넣어 시원한 맛을 더한 칼국수입니다.,"밀가루, 반죽물, 애호박, 달걀, 쇠고기(양지머리), 감자, 표고버섯, 대파, 김, 양 념, 소금, 국간장, 마늘, 참기름, 육 수, 멸치(육수용), 물","[면 만들기]1. 밀가루에 물, 소금을 약간 넣고 반죽한 후 얇게 10.달걀은 흰자, 노른자 따로 풀어 소금을 약간밀어 가늘게 썬다. 넣고 거품을 걷어 낸 후 황백지단을부쳐서 채 썬다.[육수 끓이기]2. 물에 멸치를 넣고 3~5분 정도 끓여준다. [끓이기]3. 멸치를 건져낸다. 11. 멸치를 우려 낸 물에 쇠고기와 표고버섯,감자를 먼저 넣고 15분간 끓인 후 칼국수를 넣고 3분정도 끓인 다음4. 쇠고기는 0.3cm 두께로 얇게 저며 채 썬다. 마지막으로 애호박을 넣고 3분 더 끓여5. 표고버섯은 5 × 0.2 × 0.2cm 크기로 채 썬다. 준다.6. 감자는 5 × 0.2 × 0.2cm 크기로 채 썬다. 12. 국수가 익으면 국간장, 소금, 다진 마늘,7. 애호박은 5 × 0.2 × 0.2cm 크기로 채 썬다. 참기름으로 간을 맞춘 다음 대파를 넣는다.8. 대파는 0.3cm 두께로 어슷썬다. 13.완성된 칼국수를 그릇에 담고 황백지단과9. 마늘은 곱게 다진다. 채 썬 김을 고명으로 얹는다.사용조미료 : 꽃소금, 참기름, 국간장",팜킷,칼국수
200,콩국수,"밀면, 콩국물",찬물에넣기,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,콩국수,콩의 고소한 맛과 영양을 그대로 담은 콩국수는 오래도록 사랑받고 있는 메뉴 중 하나인데요~ 더운 날 이 국수 한 그릇이면 진수성찬이 따로 없죠? 쫄깃한 면에 담백한 국물이 매력적인 콩국수 만들어보세요.,"콩(대두)%2컵, 볶은땅콩%한줌, 잣(생략가능)%반줌, 중면(1인분 기준)%130g, 오이%1/2개, 파프리카(생략가능)%1/4개, 소금%1/2작은술, 얼음%약간"," 콩은 5시간 정도 불린 후 비벼 씻어가며 껍질을 제거해주세요. 냄비에 콩과 물 4컵, 소금을 넣고 13~15분 정도 삶아주세요. 믹서에 콩과 물, 땅콩, 잣을 넣고 곱게 갈아 냉장고에 넣어주세요.(물 6~7컵을 한 번에 넣지 말고, 조금씩 나누어 넣어주며 갈아주셔야 부드럽게 갈수 있답니다. 기호에 따라 국물을 체에 걸러 부드러운 콩국물을 만드셔도 돼요.) 오이와 파프리카는 채를 썰어주세요. 끓는물에 중면을 펼쳐 넣고 젓가락으로 저어 면끼리 달라붙지 않도록 저어주고, 물이 끓어오르면 찬물 반컵씩을 3회 반복해서 부어 국수를 삶아주세요.흐르는 찬물에 중면을 여러번 씻어 전분기를 없애고 동그랗게 말아 타래를 지어주세요. 그릇에 삶은 면을 담고 오이, 파프리카(또는 토마토)를 올리고 시원한 콩국물을 부어 주세요.(기호에 따라 약간의 소금을 곁들여 간을 맞추고, 얼음을 띄워 시원하게 드셔도 좋아요)",우리의 식탁,콩국수
201,회냉면,"생선류, 밀면, 고추장, 식초",비빔,"#한식, #한끼, #음식점, #배달, #그룹",#냉면,회냉면,홍어회를 고명으로 올린 비빔냉면입니다.,"자른홍어, 사이다(손질용), 실파, 미나리, 냉면사리, 양 념, 물엿, 식초, 간장, 설탕, 고춧가루, 검은깨, 참기름","1. 홍어는 물에 1번 헹궈 체에 밭쳐 2분간 물기를 제거한뒤, 사이다를 부어 으스러지지 않게 비벼1시간 동안 냉장 보관한다.2. 실파는 흰 부분, 미나리는 줄기 부분만 깨끗이 씻어 물기를 털어내고 0.2cm 두께로 썬다.[숙성하기]3. 사이다에서 홍어를 건져, 물엿, 식초, 간장, 설탕을 넣고 15회 이상 버무리고, 고춧가루, 실파,미나리를 넣어 추가로 15회 버무려, 2일간 숙성한다.[냉면 삶기]4. 끓는 물에 냉면사리를 넣어 1분간 삶는다.5. 냉수에 4번 가볍게 헹군 후, 체에 밭쳐 5분간 물기를 제거한다.6. 그릇에 냉면사리를 담고, 그 위에 홍어를 올리고, 검은깨와 참기름을 뿌린다.사용조미료 : 사이다, 물엿, 양조식초, 양조간장, 백설탕, 고춧가루, 검은깨, 참기름",팜킷,회냉면
202,월남쌈,"라이스페이퍼, 나물류, 과일류",쌈,"#한식, #한끼, #음식점, #그룹",#아시안,쌀국수,"쌀국수와 함께 베트남 요리를 대표하는 월남쌈은 간단하면서도 초대요리로 손색없는 메뉴예요. 오색찬란한 빛이 보기에도 좋고 고기나 해물 등의 육류를 싱싱한 채소와 곁들여 먹으니 건강에도 좋은 메뉴랍니다. 칠리소스나 피시소스, 혹은 땅콩소스와 함께 내면 찍어먹는 재미가 있어 아이들도 좋아한답니다.","라이스페이퍼%15장, 양파%1/2개, 무순%1줌, 새싹채소%1줌, 영양부추%30g, 노란.빨간.주황 파프리카%각 1/2개씩, 적양배추%30g, 당근%1/3개, 깻잎%4장, 파인애플%50g, 새우%100g, 달걀%2개, 스위트칠리소스%약간, 땅콩소스%약간, 피시소스%약간, 다진 홍고추.청양고추%1/3개씩"," 영양부추는 4cm 길이로 썰어주세요. 파프리카, 적양배추, 당근, 깻잎은 4cm 길이로 채를 썰어주세요. 파인애플은 3cm 크기로 잘라주세요. 새우는 끓는 물에 살짝 데쳐주세요. 달걀은 볼에 풀어서 기름을 살짝 두른 팬에 얇게 지단을 부친 후 4cm 길이로 채 썰어주세요.큰 접시에 손질한 재료를 둘러 담고 소스를 준비해주세요. 라이스페이퍼를 따뜻한 물에 3~5초간 담갔다가 약간 뻣뻣한 느낌이 남아있을 때 양손으로 끝을 잡고 꺼내주세요. 볼에 따뜻한 물을 준비한 후 라이스페이퍼를 5초정도 담근 후 꺼내주세요. 평평한 그릇이나 도마에 라이스페이퍼를 펼치고 새우와 각종 채소, 과일을 월남쌈의 1/3지점에 놓아주세요. 월남쌈의 아랫부분을 재료를 감싸듯이 올려 접고 양옆을 안쪽으로 접어 돌돌 말아주세요. 다진 홍고추와 청양고추를 피시소스에 넣어 섞어주고 스위트칠리소스, 땅콩소스와 함께 내주세요.",우리의 식탁,월남쌈
203,회무침,"생선류, 고추장, 식초",무침,"#한식, #요리, #배달, #저녁",#해산물,회무침,새콤달콤한 초장에 신선한 회와 채소를 무쳐먹는 회무침입니다.,"광어회, 양배추, 깻잎, 오이고추, 양념장, 설탕, 식초, 고추장, 통깨, 다진마늘, 참기름","1. 양배추는 1 X 5cm 크기로 썬다.2. 깻잎은 꼭지를 제거한 후 돌돌 말아 1cm 폭으로 썬다.3. 오이고추는 4cm 길이로 어슷 썰어준다.[양념장 만들기]4. 큰 볼에 설탕, 식초, 고추장, 통깨, 다진마늘, 참기름을 넣어 골고루 섞는다.[무치기]5. 회, 양배추, 깻잎 오이고추를 넣어 양념장에 골고루 무친다.사용조미료 : 백설탕, 식초, 고추장, 볶음참깨, 참기름",팜킷,회무침
204,돈까스,"돼지고기, 밀가루",튀김,"#한식, #한끼, #음식점, #배달, #그룹",#돈까스,돈까스,돈까스는 일본식 커틀릿으로 고기를 얇게 저며서 튀김옷을 입혀 튀긴 요리입니다.,"돼지고기(등심), 밀가루, 달걀물, 빵가루, 소 스, 토마토페이스트, 돈까스소스, 토마토케첩, 하이스가루, 양송이버섯, 양파, 버터, 물, 양 념, 후춧가루, 소금, 식용유(튀김용)","1. 돼지고기 등심은1.2cm 두께로 잘라 0.8cm 정도 두께가 되도록 기계로 눌러주거나 텐더라이징한다.[튀기기]2. 손질한 고기에 후춧가루와 소금으로 밑간하고 밀가루, 달걀물, 빵가루 순으로 옷을 입힌다.3. 2를 170℃ 정도의 식용유에서 갈색이 나도록 튀긴다.[소스 만들기]4. 팬에 버터를 두르고 다진양파와 얇게 슬라이스한 양송이버섯을 볶은 후 토마토페이스트와물을 넣고 끓인다.5. 4가 끓으면 돈까스소스, 토마토케첩, 하이스가루를 넣고 소스를 완성한다.[담기]6. 튀긴 등심돈까스는 기호에 따라 5의 소스를 곁들여 낸다.사용조미료 : 토마토페이스트, 돈까스소스, 토마토케첩, 하이스가루, 버터, 순후추, 꽃소금, 식용유",팜킷,등심돈까스
205,생선모듬초밥,"생선류, 밥, 식초",롤,"#한식, #한끼, #음식점, #배달, #그룹",#초밥,초밥,흰살생선부터 붉은살생선까지 다양한 종류의 초밥을 맛볼 수 있는 모듬초밥입니다.,"멥쌀, 물, (붉은)참치살, 광어살, 도미살, 새우, 고추냉이, 배합초, 식초, 설탕, 소금","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 후 분량의 물을 부어 밥을 짓는다.(센불 5분, 약불 7분, 불을 끄고 5분간 뜸들임) 2. 참치, 광어, 도미살은 8 × 3 × 0.5cm 두께로 썬다. 3. 새우는 끓는 물에 3분간 삶은 후, 껍질을 제거하고 배쪽을 갈라 반으로 핀다. [배합초 만들기] 4. 식초, 설탕, 소금을 섞어 3분간 끓여준다.[초밥 만들기] 5. 밥에 배합초를 넣고 20번 섞는다. 6. 밥을 14g씩 떠서 초밥모양을 만든 후, 밥 위에 고추냉이를 얹은 후 생선살을 하나씩 올린다.사용조미료 : 고추냉이, 양조식초, 백설탕, 꽃소금",팜킷,생선모듬초밥
206,유부초밥,"유부, 밥, 식초",롤,"#한식, #한끼, #음식점, #배달, #간편식, #그룹",#김밥,유부,유부 속에 밥을 넣어 만든 초밥입니다.,"쌀, 물, 조미유부, 당근, 청피망, 후리가케, 식용유(볶음용), 양 념, 소금, 단촛물, 소금, 설탕, 식초, 물","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 후 분량의 물을 부어 밥을 짓는다.(센불 5분,약불 7분, 불을 끄고 5분간 뜸들임)2. 조미 유부는 1kg의 무게로 8분간 눌려 수분을 제거한다.3. 당근과 청피망은 0.2 × 0.2 × 0.2cm 크기로 썬다.[단촛물 만들기]4. 냄비에 소금, 설탕, 식초, 물을 넣고 센 불에서 2분간 끓여 단촛물을 만든다.[만들기]5. 1분간 센 불에서 가열한 팬에 식용유와 당근, 청피망을 넣고, 소금을 뿌려 센 불에 1분간 볶는다.6. 밥에 당근, 청피망, 후리가케, 단촛물을 넣고 섞는다.7. 조미유부에 양념된 밥을 넣는다.사용조미료 : 식용유, 후리가케, 백설탕, 식초, 꽃소금",팜킷,유부초밥
207,깐풍기,"닭고기, 밀가루, 고추가루, 식초, 물엿",튀김,"#한식, #요리, #배달, #저녁",#탕수육,중국집,튀긴 닭고기에 매콤한 소스를 끼얹어 먹는 중국식 닭요리입니다.,"닭(뼈없는닭), 홍고추, 청피망, 생강, 마늘, 대파, 식용유(튀김용), 닭고기 밑간, 간장, 청주, 후춧가루, 반 죽, 달걀(흰자), 감자전분, 양 념, 간장, 설탕, 식초, 청주, 물","1. 닭은 4 × 4cm 크기로 썰고, 간장과 청주, 후춧가루를 넣고 1분간 버무린다.2. 홍고추, 청피망은 0.5 × 0.5cm 크기로 썬다.3. 생강, 마늘, 대파는 0.2 × 0.2 × 0.2cm 크기로 썬다.[튀기기]4. 밑간한 닭고기에 흰자를 넣고 1분간 버무려 거품이 생기면 감자전분을 넣고 섞어준다.5.튀김기름 온도가 180℃가 되면 4을 넣고 4분 튀겨낸 후 다시 기름에 2분간 튀긴후 페이퍼 타올에올려 기름기를 제거 한다. .[양념 버무리기]6. 간장, 설탕, 식초, 청주에 물을 넣고 간장소스를 만든다.7. 팬에 식용유을 넣고 생강, 마늘, 대파, 홍고추, 청피망를 넣어 센 불에서 1분간 볶은 후 간장 소스를넣고 2분간 졸인다.8. 7에 튀긴 고기를 넣고 2분간 더 졸인 후 참기름을 넣어 30초간 섞어준다.사용조미료 : 식용유, 양조간장, 순후추, 백설탕, 양조식초, 청주",팜킷,깐풍기
208,팔보채,"오징어, 돼지고기, 버섯, 죽순, 간장, 고추가루",조림,"#한식, #요리, #배달, #저녁",#탕수육,중국집,여덟 가지 진귀한 재료로 만든 중국식 해물볶음요리입니다.,"청경채, 오징어, 건해삼, 새우, 소라, 닭고기, 표고버섯, 양송이버섯, 당근, 당근, 죽순, 대파, 마늘, 생강, 전분 물, 감자전분, 물, 양 념, 청주, 간장, 굴소스, 참기름"," [데치기]1. 청경채는 5 × 1cm 길이로 썬다. 12. 끓는 물에 오징어, 자숙해삼, 새우, 소라, 닭고기,2.오징어는 페이퍼 타월을 이용 해 껍질을 제거한 뒤, 표고버섯, 양송이버섯, 죽순을 각각 30초씩5 × 1cm 길이로 썬다. 데치고, 체에 밭쳐 5분간 물기를 제거한다.3.자숙해삼은 흐르는 물에 깨끗이 씻고, 끓는 소금물에10분간 삶아 소금물을 버리고, 매일 물을 갈아주며, [볶기]5~7일간 불려, 0.8cm 두께로 저며 썬다. 13.센 불에서 1분간 가열한 팬에 식용유와 대파, 마늘,4.새우는 머리와 껍질을 제거하고 이쑤시개를 이용해 생강을 넣고 센 불에서 1분간 볶다가 청주, 간장을내장을 제거한다. 넣는다.5. 소라는 2cm 크기로 썬다. 14. 청경채, 오징어, 자숙해삼, 새우, 소라, 닭고기,6.닭고기는 6 × 5 × 0.3cm 크기로 저며 썬다. 표고버섯, 양송이버섯, 당근, 죽순을 넣고 센 불에서7. 표고버섯과 양송이버섯은 0.5cm 두께로 편 썬다. 5분간 볶는다.8.당근과 죽순은 5 × 1 × 0.3cm 크기로 썬다. 15. 굴소스를 넣고 1분간 볶는다.9. 대파는 5 × 2cm 크기로 썬다. 16. 전분물을 넣고 센 불에서 30초간 젓는다.10. 마늘과 생강은 0.3cm 두께로 편 썬다. 17. 불을 끄고 참기름을 골고루 버무린다.11. 감자전분과 물을 섞어 전분물을 만든다.사용조미료 : 양조간장, 청주, 굴소스, 참기름",팜킷,팔보채
209,마파두부,"두부, 다진돼지고기, 고추가루, 간장",조림,"#한식, #한끼, #음식점, #배달",#탕수육,중국집,고슬고슬한 밥에 쓱쓱 비벼 먹기 좋아 많은 분들이 좋아하시는 마파두부 레시피를 소개해요~ 코 끝을 자극하는 냄새가 예사롭지 않은 메뉴지요. 몸에 좋은 두부와 칼칼한 양념을 뜨끈하게 즐기면 피로가 싹 날아가는 기분이랍니다.,"두부(부침용)%1모, 다진 돼지고기%150g, 양파%1/2개, 홍고추%1개, 청고추%1개, 대파%1/3대, 실파%1대, 고추기름%2큰술, 물%1컵, 참기름%1/2큰술, 맛술%2큰술, 두반장%1+1/2큰술, 간장%1큰술, 고춧가루%1/2큰술, 설탕%1/2큰술, 다진마늘%1/2큰술, 생강가루%1/4작은술, 소금%약간, 후추%약간, 전분가루%2큰술, 물%2큰술"," 두부는 2센치 크기로 썰어주세요. 끓는 물에 약간의 소금을 넣고, 두부를 넣어 1분 정도 데쳐주세요. 양파와 홍고추, 청고추는 잘게 자르고 대파, 실파는 송송 썰어주세요. 달군 팬에 고추기름을 두르고 대파, 홍고추, 양파를 넣어 볶아주세요. 다진 돼지고기와 양념재료를 넣고 볶다가 돼지고기가 익으면 청고추를 넣고, 물을 부어 2분 정도 더 끓여주세요. 국물이 끓어오르면 두부를 넣고, 녹말물을 조금씩 넣으면서 농도를 걸쭉하게 맞춰 주세요. 참기름을 두르고 불을 꺼주세요. 접시에 밥을 담고 마파두부를 올린 후, 송송 썬 실파를 뿌려주세요.",우리의 식탁,마파두부
210,잡채밥,"잡채, 밥",비빔,"#한식, #한끼, #음식점, #배달, #그룹",#중국면요리,중국집,갖은 채소와 고기를 듬뿍 넣어 만든 잡채를 밥과 함께 곁들여 먹는 일품요리입니다.,"쌀, 물, 당면, 느타리버섯, 쇠고기(등심), 양파, 당근, 시금치, 식용유(볶음용), 양념(1), 간장, 다진대파, 다진마늘, 설탕, 후춧가루, 양념(2), 소금, 양념(3), 통깨, 간장, 참기름","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 8. 시금치는 끓는 물에 30초간 데친 후 차가운후 분량의 물을 부어 밥을 짓는다. (센불5분, 물에 헹구어 물기를 꼭짜고, 5cm 길이로약불 7분, 불을 끄고 5분간 뜸들임) 자른다.2. 당면은 40분 이상 물에 불려 8cm 길이로자른다. [잡채 만들기]3.느타리버섯은 결대로 0.3cm 두께로 찢는다. 9. 불린 당면은 끓는 물에 90초간 삶아 체에4. 쇠고기와 당근은 5 × 0.3 × 0.3cm 크기로 밭쳐 3분간 물기를 제거하고, 양념(3)을 넣어채 썬다. 15회 이상 무친다.5.양념(1)의 재료를 섞어 채 썬 쇠고기와 느타리 10.재워 놓은 느타리버섯과 쇠고기는 센불에서버섯에 각각 양념하여 20분간 재운다. 1분간 가열한 팬에 식용유 두르고, 4분간6. 양파는 5 × 0.3cm 크기로 채 썬다. 볶은 뒤, 양파, 당근, 시금치를 넣어 4분간7. 양파와 당근은 각각 센불에서 1분간 가열한 더 볶는다.팬에 식용유와 소금을 넣고 90초간 볶는다. 11. 접시에 밥을 담고 9와 10을 섞어 얹어 낸다.사용조미료 : 식용유, 양조간장, 백설탕, 순후추, 꽃소금, 볶음참깨, 참기름",팜킷,잡채밥
